hits,quarter,term,year
0,1,orchestra,1958
5,2,orchestra,1958
2,3,orchestra,1958
2,4,orchestra,1958
0,1,orchestra,1959
1,2,orchestra,1959
5,3,orchestra,1959
0,4,orchestra,1959
3,1,orchestra,1960
0,2,orchestra,1960
2,3,orchestra,1960
0,4,orchestra,1960
0,1,orchestra,1961
1,2,orchestra,1961
1,3,orchestra,1961
1,4,orchestra,1961
0,1,orchestra,1962
0,2,orchestra,1962
1,3,orchestra,1962
0,4,orchestra,1962
0,1,orchestra,1963
1,2,orchestra,1963
0,3,orchestra,1963
1,4,orchestra,1963
431,1,orchestra,1964
417,2,orchestra,1964
344,3,orchestra,1964
457,4,orchestra,1964
0,1,orchestra,1965
3,2,orchestra,1965
0,3,orchestra,1965
2,4,orchestra,1965
0,1,orchestra,1966
1,2,orchestra,1966
2,3,orchestra,1966
0,4,orchestra,1966
4,1,orchestra,1967
1,2,orchestra,1967
1,3,orchestra,1967
0,4,orchestra,1967
2,1,orchestra,1968
1,2,orchestra,1968
1,3,orchestra,1968
2,4,orchestra,1968
1,1,orchestra,1969
2,2,orchestra,1969
0,3,orchestra,1969
2,4,orchestra,1969
291,1,orchestra,1970
241,2,orchestra,1970
239,3,orchestra,1970
280,4,orchestra,1970
245,1,orchestra,1971
260,2,orchestra,1971
197,3,orchestra,1971
238,4,orchestra,1971
224,1,orchestra,1972
249,2,orchestra,1972
205,3,orchestra,1972
277,4,orchestra,1972
355,1,orchestra,1973
298,2,orchestra,1973
344,3,orchestra,1973
375,4,orchestra,1973
311,1,orchestra,1974
308,2,orchestra,1974
308,3,orchestra,1974
352,4,orchestra,1974
363,1,orchestra,1975
339,2,orchestra,1975
326,3,orchestra,1975
424,4,orchestra,1975
283,1,orchestra,1976
401,2,orchestra,1976
385,3,orchestra,1976
413,4,orchestra,1976
458,1,orchestra,1977
503,2,orchestra,1977
529,3,orchestra,1977
589,4,orchestra,1977
535,1,orchestra,1978
568,2,orchestra,1978
262,3,orchestra,1978
338,4,orchestra,1978
556,1,orchestra,1979
560,2,orchestra,1979
570,3,orchestra,1979
654,4,orchestra,1979
1,1,orchestra,1980
1,2,orchestra,1980
2,3,orchestra,1980
1,4,orchestra,1980
433,1,orchestra,1981
410,2,orchestra,1981
360,3,orchestra,1981
456,4,orchestra,1981
406,1,orchestra,1982
454,2,orchestra,1982
407,3,orchestra,1982
409,4,orchestra,1982
391,1,orchestra,1983
435,2,orchestra,1983
389,3,orchestra,1983
428,4,orchestra,1983
390,1,orchestra,1984
437,2,orchestra,1984
427,3,orchestra,1984
456,4,orchestra,1984
405,1,orchestra,1985
449,2,orchestra,1985
413,3,orchestra,1985
453,4,orchestra,1985
426,1,orchestra,1986
448,2,orchestra,1986
409,3,orchestra,1986
381,4,orchestra,1986
428,1,orchestra,1987
441,2,orchestra,1987
417,3,orchestra,1987
459,4,orchestra,1987
429,1,orchestra,1988
437,2,orchestra,1988
361,3,orchestra,1988
401,4,orchestra,1988
432,1,orchestra,1989
417,2,orchestra,1989
329,3,orchestra,1989
417,4,orchestra,1989
381,1,orchestra,1990
406,2,orchestra,1990
378,3,orchestra,1990
389,4,orchestra,1990
365,1,orchestra,1991
361,2,orchestra,1991
342,3,orchestra,1991
399,4,orchestra,1991
360,1,orchestra,1992
365,2,orchestra,1992
305,3,orchestra,1992
331,4,orchestra,1992
341,1,orchestra,1993
333,2,orchestra,1993
325,3,orchestra,1993
385,4,orchestra,1993
367,1,orchestra,1994
348,2,orchestra,1994
278,3,orchestra,1994
341,4,orchestra,1994
317,1,orchestra,1995
320,2,orchestra,1995
304,3,orchestra,1995
411,4,orchestra,1995
