hits,quarter,term,year
0,3,azealia,1960
0,4,azealia,1960
0,1,azealia,1961
0,2,azealia,1961
0,3,azealia,1961
0,4,azealia,1961
0,1,azealia,1962
0,2,azealia,1962
0,3,azealia,1962
0,4,azealia,1962
0,1,azealia,1963
0,2,azealia,1963
0,3,azealia,1963
0,4,azealia,1963
0,1,azealia,1964
0,2,azealia,1964
0,3,azealia,1964
0,4,azealia,1964
0,1,azealia,1965
0,2,azealia,1965
0,3,azealia,1965
0,4,azealia,1965
0,1,azealia,1966
0,2,azealia,1966
0,3,azealia,1966
0,4,azealia,1966
0,1,azealia,1967
0,2,azealia,1967
0,3,azealia,1967
0,4,azealia,1967
0,1,azealia,1968
0,2,azealia,1968
0,3,azealia,1968
0,4,azealia,1968
0,1,azealia,1969
0,2,azealia,1969
0,3,azealia,1969
0,4,azealia,1969
0,1,azealia,1970
0,2,azealia,1970
0,3,azealia,1970
0,4,azealia,1970
0,1,azealia,1971
0,2,azealia,1971
0,4,azealia,1971
0,1,azealia,1972
0,2,azealia,1972
0,3,azealia,1972
0,4,azealia,1972
0,1,azealia,1973
0,2,azealia,1973
0,3,azealia,1973
0,4,azealia,1973
0,1,azealia,1974
0,2,azealia,1974
0,3,azealia,1974
0,4,azealia,1974
0,1,azealia,1975
0,2,azealia,1975
0,3,azealia,1975
0,4,azealia,1975
0,1,azealia,1976
0,2,azealia,1976
0,3,azealia,1976
0,4,azealia,1976
0,1,azealia,1977
0,2,azealia,1977
0,3,azealia,1977
0,4,azealia,1977
0,1,azealia,1978
0,2,azealia,1978
0,3,azealia,1978
0,4,azealia,1978
0,1,azealia,1979
0,2,azealia,1979
0,3,azealia,1979
0,4,azealia,1979
0,1,azealia,1980
0,2,azealia,1980
0,3,azealia,1980
0,4,azealia,1980
0,1,azealia,1981
0,2,azealia,1981
0,3,azealia,1981
0,4,azealia,1981
0,1,azealia,1982
0,2,azealia,1982
0,3,azealia,1982
0,4,azealia,1982
0,1,azealia,1983
0,2,azealia,1983
0,3,azealia,1983
0,4,azealia,1983
0,1,azealia,1984
0,2,azealia,1984
0,3,azealia,1984
0,4,azealia,1984
0,1,azealia,1985
0,2,azealia,1985
0,3,azealia,1985
0,4,azealia,1985
0,1,azealia,1986
0,2,azealia,1986
0,3,azealia,1986
0,4,azealia,1986
0,1,azealia,1987
0,2,azealia,1987
0,3,azealia,1987
0,4,azealia,1987
0,1,azealia,1988
0,2,azealia,1988
0,3,azealia,1988
0,4,azealia,1988
0,1,azealia,1989
0,2,azealia,1989
0,3,azealia,1989
0,4,azealia,1989
0,1,azealia,1990
0,2,azealia,1990
0,3,azealia,1990
0,4,azealia,1990
0,1,azealia,1991
0,2,azealia,1991
0,3,azealia,1991
0,4,azealia,1991
0,1,azealia,1992
0,2,azealia,1992
0,3,azealia,1992
0,4,azealia,1992
0,1,azealia,1993
0,2,azealia,1993
0,3,azealia,1993
0,4,azealia,1993
0,1,azealia,1994
0,2,azealia,1994
0,3,azealia,1994
0,4,azealia,1994
0,1,azealia,1995
0,2,azealia,1995
0,3,azealia,1995
0,4,azealia,1995
0,1,azealia,1996
0,2,azealia,1996
0,3,azealia,1996
0,4,azealia,1996
0,1,azealia,1997
0,2,azealia,1997
0,3,azealia,1997
0,4,azealia,1997
0,1,azealia,1998
0,2,azealia,1998
0,3,azealia,1998
0,4,azealia,1998
0,1,azealia,1999
0,2,azealia,1999
0,3,azealia,1999
0,4,azealia,1999
0,1,azealia,2000
0,2,azealia,2000
0,3,azealia,2000
0,4,azealia,2000
0,1,azealia,2001
0,2,azealia,2001
0,3,azealia,2001
0,4,azealia,2001
0,1,azealia,2002
0,2,azealia,2002
0,3,azealia,2002
0,4,azealia,2002
0,1,azealia,2003
0,2,azealia,2003
0,3,azealia,2003
0,4,azealia,2003
0,1,azealia,2004
0,2,azealia,2004
0,3,azealia,2004
0,4,azealia,2004
0,1,azealia,2005
0,2,azealia,2005
1,3,azealia,2005
0,4,azealia,2005
0,1,azealia,2006
0,2,azealia,2006
0,3,azealia,2006
0,4,azealia,2006
0,1,azealia,2007
0,2,azealia,2007
0,3,azealia,2007
0,4,azealia,2007
0,1,azealia,2008
0,2,azealia,2008
0,3,azealia,2008
0,4,azealia,2008
0,1,azealia,2009
0,2,azealia,2009
0,3,azealia,2009
0,4,azealia,2009
0,1,azealia,2010
0,2,azealia,2010
0,3,azealia,2010
0,4,azealia,2010
0,1,azealia,2011
0,2,azealia,2011
0,3,azealia,2011
0,4,azealia,2011
8,1,azealia,2012
8,2,azealia,2012
8,3,azealia,2012
3,4,azealia,2012
4,1,azealia,2013
5,2,azealia,2013
2,3,azealia,2013
0,4,azealia,2013
1,1,azealia,2014
2,2,azealia,2014
0,3,azealia,2014
6,4,azealia,2014
3,1,azealia,2015
5,2,azealia,2015
0,3,azealia,2015
2,4,azealia,2015
3,1,azealia,2016
3,2,azealia,2016
0,3,azealia,2016
1,4,azealia,2016
0,1,azealia,2017
0,2,azealia,2017
1,3,azealia,2017
2,4,azealia,2017
3,1,azealia,2018
2,2,azealia,2018
9,3,azealia,2018
0,4,azealia,2018
1,1,azealia,2019
1,2,azealia,2019
0,3,azealia,2019
0,4,azealia,2019
