hits,quarter,term,year
0,3,(vets*) AND shell shock,1936
0,4,(vets*) AND shell shock,1936
0,1,(vets*) AND shell shock,1937
0,2,(vets*) AND shell shock,1937
0,3,(vets*) AND shell shock,1937
0,4,(vets*) AND shell shock,1937
0,1,(vets*) AND shell shock,1938
0,2,(vets*) AND shell shock,1938
0,3,(vets*) AND shell shock,1938
0,4,(vets*) AND shell shock,1938
0,1,(vets*) AND shell shock,1939
0,2,(vets*) AND shell shock,1939
0,3,(vets*) AND shell shock,1939
0,4,(vets*) AND shell shock,1939
0,1,(vets*) AND shell shock,1940
0,2,(vets*) AND shell shock,1940
0,3,(vets*) AND shell shock,1940
0,4,(vets*) AND shell shock,1940
0,1,(vets*) AND shell shock,1941
0,2,(vets*) AND shell shock,1941
0,3,(vets*) AND shell shock,1941
0,4,(vets*) AND shell shock,1941
0,1,(vets*) AND shell shock,1942
0,2,(vets*) AND shell shock,1942
0,3,(vets*) AND shell shock,1942
0,4,(vets*) AND shell shock,1942
0,1,(vets*) AND shell shock,1943
0,2,(vets*) AND shell shock,1943
0,3,(vets*) AND shell shock,1943
0,4,(vets*) AND shell shock,1943
0,1,(vets*) AND shell shock,1944
1,2,(vets*) AND shell shock,1944
0,3,(vets*) AND shell shock,1944
0,4,(vets*) AND shell shock,1944
0,1,(vets*) AND shell shock,1945
1,2,(vets*) AND shell shock,1945
0,3,(vets*) AND shell shock,1945
0,4,(vets*) AND shell shock,1945
0,1,(vets*) AND shell shock,1946
0,2,(vets*) AND shell shock,1946
0,3,(vets*) AND shell shock,1946
0,4,(vets*) AND shell shock,1946
0,1,(vets*) AND shell shock,1947
0,2,(vets*) AND shell shock,1947
0,3,(vets*) AND shell shock,1947
0,4,(vets*) AND shell shock,1947
0,1,(vets*) AND shell shock,1948
0,2,(vets*) AND shell shock,1948
0,3,(vets*) AND shell shock,1948
0,4,(vets*) AND shell shock,1948
0,1,(vets*) AND shell shock,1949
0,2,(vets*) AND shell shock,1949
0,3,(vets*) AND shell shock,1949
0,4,(vets*) AND shell shock,1949
0,1,(vets*) AND shell shock,1950
0,2,(vets*) AND shell shock,1950
0,3,(vets*) AND shell shock,1950
0,4,(vets*) AND shell shock,1950
0,1,(vets*) AND shell shock,1951
0,2,(vets*) AND shell shock,1951
0,3,(vets*) AND shell shock,1951
0,4,(vets*) AND shell shock,1951
0,1,(vets*) AND shell shock,1952
0,2,(vets*) AND shell shock,1952
0,3,(vets*) AND shell shock,1952
0,4,(vets*) AND shell shock,1952
0,1,(vets*) AND shell shock,1953
0,2,(vets*) AND shell shock,1953
0,3,(vets*) AND shell shock,1953
0,4,(vets*) AND shell shock,1953
0,1,(vets*) AND shell shock,1954
0,2,(vets*) AND shell shock,1954
0,3,(vets*) AND shell shock,1954
0,4,(vets*) AND shell shock,1954
0,1,(vets*) AND shell shock,1955
0,2,(vets*) AND shell shock,1955
0,3,(vets*) AND shell shock,1955
0,4,(vets*) AND shell shock,1955
0,1,(vets*) AND shell shock,1956
0,2,(vets*) AND shell shock,1956
0,3,(vets*) AND shell shock,1956
0,4,(vets*) AND shell shock,1956
0,1,(vets*) AND shell shock,1957
0,2,(vets*) AND shell shock,1957
0,3,(vets*) AND shell shock,1957
0,4,(vets*) AND shell shock,1957
0,1,(vets*) AND shell shock,1958
0,2,(vets*) AND shell shock,1958
0,3,(vets*) AND shell shock,1958
0,4,(vets*) AND shell shock,1958
0,1,(vets*) AND shell shock,1959
0,2,(vets*) AND shell shock,1959
0,3,(vets*) AND shell shock,1959
0,4,(vets*) AND shell shock,1959
0,1,(vets*) AND shell shock,1960
0,2,(vets*) AND shell shock,1960
0,3,(vets*) AND shell shock,1960
0,4,(vets*) AND shell shock,1960
0,1,(vets*) AND shell shock,1961
0,2,(vets*) AND shell shock,1961
0,3,(vets*) AND shell shock,1961
0,4,(vets*) AND shell shock,1961
0,1,(vets*) AND shell shock,1962
0,2,(vets*) AND shell shock,1962
0,3,(vets*) AND shell shock,1962
0,4,(vets*) AND shell shock,1962
0,1,(vets*) AND shell shock,1963
0,2,(vets*) AND shell shock,1963
0,3,(vets*) AND shell shock,1963
0,4,(vets*) AND shell shock,1963
0,1,(vets*) AND shell shock,1964
0,2,(vets*) AND shell shock,1964
1,3,(vets*) AND shell shock,1964
0,4,(vets*) AND shell shock,1964
0,1,(vets*) AND shell shock,1965
0,2,(vets*) AND shell shock,1965
0,3,(vets*) AND shell shock,1965
1,4,(vets*) AND shell shock,1965
0,1,(vets*) AND shell shock,1966
0,2,(vets*) AND shell shock,1966
0,3,(vets*) AND shell shock,1966
0,4,(vets*) AND shell shock,1966
0,1,(vets*) AND shell shock,1967
0,2,(vets*) AND shell shock,1967
0,3,(vets*) AND shell shock,1967
0,4,(vets*) AND shell shock,1967
0,1,(vets*) AND shell shock,1968
0,2,(vets*) AND shell shock,1968
0,3,(vets*) AND shell shock,1968
0,4,(vets*) AND shell shock,1968
0,1,(vets*) AND shell shock,1969
0,2,(vets*) AND shell shock,1969
0,3,(vets*) AND shell shock,1969
0,4,(vets*) AND shell shock,1969
1,1,(vets*) AND shell shock,1970
2,2,(vets*) AND shell shock,1970
0,3,(vets*) AND shell shock,1970
0,4,(vets*) AND shell shock,1970
0,1,(vets*) AND shell shock,1971
1,2,(vets*) AND shell shock,1971
0,3,(vets*) AND shell shock,1971
0,4,(vets*) AND shell shock,1971
1,1,(vets*) AND shell shock,1972
0,2,(vets*) AND shell shock,1972
2,3,(vets*) AND shell shock,1972
0,4,(vets*) AND shell shock,1972
0,1,(vets*) AND shell shock,1973
0,2,(vets*) AND shell shock,1973
0,3,(vets*) AND shell shock,1973
2,4,(vets*) AND shell shock,1973
0,1,(vets*) AND shell shock,1974
0,2,(vets*) AND shell shock,1974
1,3,(vets*) AND shell shock,1974
0,4,(vets*) AND shell shock,1974
0,1,(vets*) AND shell shock,1975
0,2,(vets*) AND shell shock,1975
0,3,(vets*) AND shell shock,1975
0,4,(vets*) AND shell shock,1975
1,1,(vets*) AND shell shock,1976
0,2,(vets*) AND shell shock,1976
0,3,(vets*) AND shell shock,1976
1,4,(vets*) AND shell shock,1976
0,1,(vets*) AND shell shock,1977
0,2,(vets*) AND shell shock,1977
0,3,(vets*) AND shell shock,1977
1,4,(vets*) AND shell shock,1977
1,1,(vets*) AND shell shock,1978
2,2,(vets*) AND shell shock,1978
0,3,(vets*) AND shell shock,1978
0,4,(vets*) AND shell shock,1978
0,1,(vets*) AND shell shock,1979
1,2,(vets*) AND shell shock,1979
2,3,(vets*) AND shell shock,1979
3,4,(vets*) AND shell shock,1979
0,1,(vets*) AND shell shock,1980
0,2,(vets*) AND shell shock,1980
1,3,(vets*) AND shell shock,1980
0,4,(vets*) AND shell shock,1980
2,1,(vets*) AND shell shock,1981
2,2,(vets*) AND shell shock,1981
1,3,(vets*) AND shell shock,1981
1,4,(vets*) AND shell shock,1981
0,1,(vets*) AND shell shock,1982
1,2,(vets*) AND shell shock,1982
3,3,(vets*) AND shell shock,1982
3,4,(vets*) AND shell shock,1982
3,1,(vets*) AND shell shock,1983
0,2,(vets*) AND shell shock,1983
1,3,(vets*) AND shell shock,1983
1,4,(vets*) AND shell shock,1983
2,1,(vets*) AND shell shock,1984
1,2,(vets*) AND shell shock,1984
2,3,(vets*) AND shell shock,1984
4,4,(vets*) AND shell shock,1984
2,1,(vets*) AND shell shock,1985
1,2,(vets*) AND shell shock,1985
3,3,(vets*) AND shell shock,1985
4,4,(vets*) AND shell shock,1985
2,1,(vets*) AND shell shock,1986
0,2,(vets*) AND shell shock,1986
1,3,(vets*) AND shell shock,1986
2,4,(vets*) AND shell shock,1986
2,1,(vets*) AND shell shock,1987
3,2,(vets*) AND shell shock,1987
3,3,(vets*) AND shell shock,1987
1,4,(vets*) AND shell shock,1987
3,1,(vets*) AND shell shock,1988
1,2,(vets*) AND shell shock,1988
3,3,(vets*) AND shell shock,1988
5,4,(vets*) AND shell shock,1988
1,1,(vets*) AND shell shock,1989
4,2,(vets*) AND shell shock,1989
3,3,(vets*) AND shell shock,1989
1,4,(vets*) AND shell shock,1989
5,1,(vets*) AND shell shock,1990
2,2,(vets*) AND shell shock,1990
0,3,(vets*) AND shell shock,1990
3,4,(vets*) AND shell shock,1990
0,1,(vets*) AND shell shock,1991
0,2,(vets*) AND shell shock,1991
0,3,(vets*) AND shell shock,1991
2,4,(vets*) AND shell shock,1991
2,1,(vets*) AND shell shock,1992
5,2,(vets*) AND shell shock,1992
0,3,(vets*) AND shell shock,1992
5,4,(vets*) AND shell shock,1992
0,1,(vets*) AND shell shock,1993
4,2,(vets*) AND shell shock,1993
2,3,(vets*) AND shell shock,1993
4,4,(vets*) AND shell shock,1993
4,1,(vets*) AND shell shock,1994
2,2,(vets*) AND shell shock,1994
2,3,(vets*) AND shell shock,1994
2,4,(vets*) AND shell shock,1994
2,1,(vets*) AND shell shock,1995
4,2,(vets*) AND shell shock,1995
0,3,(vets*) AND shell shock,1995
3,4,(vets*) AND shell shock,1995
2,1,(vets*) AND shell shock,1996
1,2,(vets*) AND shell shock,1996
1,3,(vets*) AND shell shock,1996
3,4,(vets*) AND shell shock,1996
4,1,(vets*) AND shell shock,1997
1,2,(vets*) AND shell shock,1997
2,3,(vets*) AND shell shock,1997
2,4,(vets*) AND shell shock,1997
2,1,(vets*) AND shell shock,1998
2,2,(vets*) AND shell shock,1998
7,3,(vets*) AND shell shock,1998
2,4,(vets*) AND shell shock,1998
1,1,(vets*) AND shell shock,1999
2,2,(vets*) AND shell shock,1999
2,3,(vets*) AND shell shock,1999
3,4,(vets*) AND shell shock,1999
4,1,(vets*) AND shell shock,2000
1,2,(vets*) AND shell shock,2000
1,3,(vets*) AND shell shock,2000
2,4,(vets*) AND shell shock,2000
2,1,(vets*) AND shell shock,2001
2,2,(vets*) AND shell shock,2001
4,3,(vets*) AND shell shock,2001
3,4,(vets*) AND shell shock,2001
4,1,(vets*) AND shell shock,2002
5,2,(vets*) AND shell shock,2002
3,3,(vets*) AND shell shock,2002
6,4,(vets*) AND shell shock,2002
3,1,(vets*) AND shell shock,2003
2,2,(vets*) AND shell shock,2003
1,3,(vets*) AND shell shock,2003
4,4,(vets*) AND shell shock,2003
0,1,(vets*) AND shell shock,2004
4,2,(vets*) AND shell shock,2004
6,3,(vets*) AND shell shock,2004
2,4,(vets*) AND shell shock,2004
2,1,(vets*) AND shell shock,2005
4,2,(vets*) AND shell shock,2005
5,3,(vets*) AND shell shock,2005
2,4,(vets*) AND shell shock,2005
2,1,(vets*) AND shell shock,2006
4,2,(vets*) AND shell shock,2006
7,3,(vets*) AND shell shock,2006
4,4,(vets*) AND shell shock,2006
2,1,(vets*) AND shell shock,2007
4,2,(vets*) AND shell shock,2007
4,3,(vets*) AND shell shock,2007
7,4,(vets*) AND shell shock,2007
9,1,(vets*) AND shell shock,2008
6,2,(vets*) AND shell shock,2008
6,3,(vets*) AND shell shock,2008
9,4,(vets*) AND shell shock,2008
3,1,(vets*) AND shell shock,2009
4,2,(vets*) AND shell shock,2009
6,3,(vets*) AND shell shock,2009
7,4,(vets*) AND shell shock,2009
5,1,(vets*) AND shell shock,2010
4,2,(vets*) AND shell shock,2010
2,3,(vets*) AND shell shock,2010
2,4,(vets*) AND shell shock,2010
3,1,(vets*) AND shell shock,2011
1,2,(vets*) AND shell shock,2011
2,3,(vets*) AND shell shock,2011
3,4,(vets*) AND shell shock,2011
3,1,(vets*) AND shell shock,2012
3,2,(vets*) AND shell shock,2012
0,3,(vets*) AND shell shock,2012
4,4,(vets*) AND shell shock,2012
1,1,(vets*) AND shell shock,2013
1,2,(vets*) AND shell shock,2013
3,3,(vets*) AND shell shock,2013
2,4,(vets*) AND shell shock,2013
1,1,(vets*) AND shell shock,2014
6,2,(vets*) AND shell shock,2014
3,3,(vets*) AND shell shock,2014
5,4,(vets*) AND shell shock,2014
1,1,(vets*) AND shell shock,2015
1,2,(vets*) AND shell shock,2015
3,3,(vets*) AND shell shock,2015
3,4,(vets*) AND shell shock,2015
0,1,(vets*) AND shell shock,2016
2,2,(vets*) AND shell shock,2016
2,3,(vets*) AND shell shock,2016
2,4,(vets*) AND shell shock,2016
