hits,quarter,term,year
26,2,equalist,1963
31,3,equalist,1963
26,4,equalist,1963
415,1,equalist,1964
521,2,equalist,1964
419,3,equalist,1964
304,4,equalist,1964
10,1,equalist,1965
9,2,equalist,1965
14,3,equalist,1965
8,4,equalist,1965
9,1,equalist,1966
23,2,equalist,1966
15,3,equalist,1966
9,4,equalist,1966
7,1,equalist,1967
7,2,equalist,1967
13,3,equalist,1967
13,4,equalist,1967
5,1,equalist,1968
9,2,equalist,1968
10,3,equalist,1968
13,4,equalist,1968
6,1,equalist,1969
4,2,equalist,1969
10,3,equalist,1969
6,4,equalist,1969
172,1,equalist,1970
146,2,equalist,1970
185,3,equalist,1970
130,4,equalist,1970
140,1,equalist,1971
125,2,equalist,1971
158,3,equalist,1971
172,4,equalist,1971
231,1,equalist,1972
172,2,equalist,1972
183,3,equalist,1972
181,4,equalist,1972
203,1,equalist,1973
139,2,equalist,1973
135,3,equalist,1973
151,4,equalist,1973
168,1,equalist,1974
174,2,equalist,1974
173,3,equalist,1974
195,4,equalist,1974
159,1,equalist,1975
191,2,equalist,1975
171,3,equalist,1975
209,4,equalist,1975
146,1,equalist,1976
165,2,equalist,1976
171,3,equalist,1976
167,4,equalist,1976
162,1,equalist,1977
221,2,equalist,1977
217,3,equalist,1977
205,4,equalist,1977
182,1,equalist,1978
216,2,equalist,1978
88,3,equalist,1978
105,4,equalist,1978
169,1,equalist,1979
167,2,equalist,1979
137,3,equalist,1979
150,4,equalist,1979
2,1,equalist,1980
3,2,equalist,1980
4,3,equalist,1980
7,4,equalist,1980
120,1,equalist,1981
135,2,equalist,1981
156,3,equalist,1981
157,4,equalist,1981
166,1,equalist,1982
166,2,equalist,1982
107,3,equalist,1982
96,4,equalist,1982
136,1,equalist,1983
128,2,equalist,1983
121,3,equalist,1983
132,4,equalist,1983
142,1,equalist,1984
133,2,equalist,1984
122,3,equalist,1984
130,4,equalist,1984
120,1,equalist,1985
101,2,equalist,1985
119,3,equalist,1985
110,4,equalist,1985
125,1,equalist,1986
102,2,equalist,1986
