hits,quarter,term,year
5,1,body.search:women's lib*,1941
2,2,body.search:women's lib*,1941
1,3,body.search:women's lib*,1941
5,4,body.search:women's lib*,1941
1,1,body.search:women's lib*,1942
4,2,body.search:women's lib*,1942
3,3,body.search:women's lib*,1942
3,4,body.search:women's lib*,1942
3,1,body.search:women's lib*,1943
7,2,body.search:women's lib*,1943
4,3,body.search:women's lib*,1943
3,4,body.search:women's lib*,1943
3,1,body.search:women's lib*,1944
4,2,body.search:women's lib*,1944
2,3,body.search:women's lib*,1944
1,4,body.search:women's lib*,1944
1,1,body.search:women's lib*,1945
3,2,body.search:women's lib*,1945
3,3,body.search:women's lib*,1945
4,4,body.search:women's lib*,1945
3,1,body.search:women's lib*,1946
4,2,body.search:women's lib*,1946
4,3,body.search:women's lib*,1946
3,4,body.search:women's lib*,1946
0,1,body.search:women's lib*,1947
2,2,body.search:women's lib*,1947
8,3,body.search:women's lib*,1947
5,4,body.search:women's lib*,1947
9,1,body.search:women's lib*,1948
4,2,body.search:women's lib*,1948
1,3,body.search:women's lib*,1948
1,4,body.search:women's lib*,1948
2,1,body.search:women's lib*,1949
2,2,body.search:women's lib*,1949
1,3,body.search:women's lib*,1949
10,4,body.search:women's lib*,1949
2,1,body.search:women's lib*,1950
8,2,body.search:women's lib*,1950
4,3,body.search:women's lib*,1950
5,4,body.search:women's lib*,1950
4,1,body.search:women's lib*,1951
9,2,body.search:women's lib*,1951
3,3,body.search:women's lib*,1951
4,4,body.search:women's lib*,1951
3,1,body.search:women's lib*,1952
2,2,body.search:women's lib*,1952
3,3,body.search:women's lib*,1952
4,4,body.search:women's lib*,1952
3,1,body.search:women's lib*,1953
4,2,body.search:women's lib*,1953
1,3,body.search:women's lib*,1953
3,4,body.search:women's lib*,1953
3,1,body.search:women's lib*,1954
4,2,body.search:women's lib*,1954
2,3,body.search:women's lib*,1954
1,4,body.search:women's lib*,1954
3,1,body.search:women's lib*,1955
4,2,body.search:women's lib*,1955
3,3,body.search:women's lib*,1955
7,4,body.search:women's lib*,1955
2,1,body.search:women's lib*,1956
3,2,body.search:women's lib*,1956
0,3,body.search:women's lib*,1956
3,4,body.search:women's lib*,1956
0,1,body.search:women's lib*,1957
2,2,body.search:women's lib*,1957
3,3,body.search:women's lib*,1957
4,4,body.search:women's lib*,1957
1,1,body.search:women's lib*,1958
4,2,body.search:women's lib*,1958
3,3,body.search:women's lib*,1958
2,4,body.search:women's lib*,1958
2,1,body.search:women's lib*,1959
4,2,body.search:women's lib*,1959
2,3,body.search:women's lib*,1959
4,4,body.search:women's lib*,1959
2,1,body.search:women's lib*,1960
2,2,body.search:women's lib*,1960
1,3,body.search:women's lib*,1960
2,4,body.search:women's lib*,1960
1,1,body.search:women's lib*,1961
2,2,body.search:women's lib*,1961
2,3,body.search:women's lib*,1961
1,4,body.search:women's lib*,1961
4,1,body.search:women's lib*,1962
4,2,body.search:women's lib*,1962
2,3,body.search:women's lib*,1962
5,4,body.search:women's lib*,1962
1,1,body.search:women's lib*,1963
3,2,body.search:women's lib*,1963
1,3,body.search:women's lib*,1963
5,4,body.search:women's lib*,1963
1896,1,body.search:women's lib*,1964
2110,2,body.search:women's lib*,1964
2078,3,body.search:women's lib*,1964
2326,4,body.search:women's lib*,1964
3,1,body.search:women's lib*,1965
1,2,body.search:women's lib*,1965
2,3,body.search:women's lib*,1965
3,4,body.search:women's lib*,1965
4,1,body.search:women's lib*,1966
1,2,body.search:women's lib*,1966
4,3,body.search:women's lib*,1966
